CITY,STATE,STATION,WEATHER_DATA,TREND_DATA
NEW_YORK,NEW_YORK,CENTRAL_PARK,Y,Y
LOS_ANGELES,CALIFORNIA,LOS_ANGELES_DOWNTOWN,Y,Y
CHICAGO,ILLINOIS,CHICAGO_MIDWAY,Y,Y
HOUSTON,TEXAS,HOBBY,Y,Y
PHILADELPHIA,PENNSYLVANIA,NORTHEAST_PHILADELPHIA,Y,Y
PHOENIX,ARIZONA,PHOENIX_SKY_HARBOUR_INTERNATIONAL,Y,Y
SAN_ANTONIO,TEXAS,SAN_ANTONIO_INTERNATIONAL,Y,Y
SAN_DIEGO,CALIFORNIA,SAN_DIEGO_INTERNATIONAL_LINDBERGH,Y,Y
DALLAS,TEXAS,DALLAS_LOVE,Y,Y
AUSTIN,TEXAS,AUSTIN,Y,Y
JACKSONVILLE,FLORIDA,JACKSONVILLE_NAVAL_AIR_STATION,Y,Y
SAN_FRANCISCO,CALIFORNIA,SAN_FRANCISCO_INTERNATIONAL,Y,Y
INDIANAPOLIS,INDIANA,INDIANAPOLIS_INTERNATIONAL,Y,Y
COLUMBUS,OHIO,OHIO_STATE_UNIVERSITY,Y,Y
CHARLOTTE,NORTH_CAROLINA,CHARLOTTE_DOUGLAS_INTERNATIONAL,Y,Y
DETROIT,MICHIGAN,DETROIT_CITY,Y,Y
SEATTLE,WASHINGTON,BOEING_FIELD_KING_COUNTY_INTERNATIONAL,Y,Y
DENVER,COLORADO,CENTENNIAL,Y,Y
WASHINGTON,DC,RONALD_REAGAN_WASHINGTON_INTERNATIONAL,Y,Y
MEMPHIS,TENNESSEE,MEMPHIS_INTERNATIONAL,Y,Y
BOSTON,MASSACHUSETTS,LOGAN_INTERNATIONAL,Y,Y
NASHVILLE,TENNESSEE,NASHVILLE_INTERNATIONAL,Y,Y
BALTIMORE,MARYLAND,BALTIMORE-WASHINGTON_INTERNATIONAL,Y,Y
OKLAHOMA_CITY,OKLAHOMA,WILEY_POST,Y,Y
PORTLAND,OREGON,PORTLAND_INTERNATIONAL,Y,Y
LAS_VEGAS,NEVADA,MCCARRAN_INTERNATIONAL,Y,Y
LOUISVILLE,KENTUCKY,LOUISVILLE_INTERNATIONAL_STANDIFORD,Y,Y
MILWAUKEE,WISCONSIN,GEN_MITCHELL_INTERNATIONAL,Y,Y
ALBUQUERQUE,NEW_MEXICO,ALBUQUERQUE_INTERNATIONAL_SUNPORT,Y,Y
TUSCON,ARIZONA,DAVIS_MONTHAN_AIR_FORCE_BASE,Y,Y
FRESNO,CALIFORNIA,FRESNO_YOSEMITE_INTERNATIONAL,Y,Y
SACRAMENTO,CALIFORNIA,SACRAMENTO_EXECUTIVE,Y,Y
KANSAS_CITY,MISSOURI,KANSAS_CITY_INTERNATIONAL,Y,Y
ATLANTA,GEORGIA,DEKALB_PEACHTREE,Y,Y
VIRGINIA_BEACH,VIRGINIA,OCEANA_NAVAL_AIR_STATION,Y,Y
OMAHA,NEBRASKA,EPPLEY_AIRFIELD,Y,Y
RALEIGH,NORTH_CAROLINA,RALEIGH-DURHAM_INTERNATIONAL,Y,Y
MIAMI,FLORIDA,MIAMA_INTERNATIONAL,Y,Y
MINNEAPOLIS,MINNISOTTA,CRYSTAL,Y,Y
TULSA,OKLAHOMA,JONES_JR,Y,Y
CLEVELAND,OHIO,BURKE_LAKEFRONT,Y,Y
WICHITA,KANSAS,WICHITA_EISENHOWER_NATIONAL_AIRPORT,Y,Y
NEW_ORLEANS,LOUISIANA,NEW_ORLEANS_INTERNATIONAL,Y,Y
